"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.25,0.75,0.95,"spillover",5.44804497757525e-05,1
0.25,0.8,0.2,"spillover",2.19770222830198e-05,0.998
0.25,0.8,0.5,"spillover",2.68369261722194e-05,0.998
0.25,0.8,0.95,"spillover",3.25098876056532e-05,0.998
0.25,0.85,0.2,"spillover",1.05125017267578e-05,1
0.25,0.85,0.5,"spillover",4.23178936830545e-05,1
0.25,0.85,0.95,"spillover",1.08259353666755e-05,1
0.25,0.9,0.2,"spillover",0,1
0.25,0.9,0.5,"spillover",1.07426099495314e-05,1
0.25,0.9,0.95,"spillover",1.04723524412644e-05,1
0.25,0.95,0.2,"spillover",0,1
0.25,0.95,0.5,"spillover",5.40540540540541e-06,1
0.25,0.95,0.95,"spillover",5.47945205479452e-06,1
0.25,1,0.2,"spillover",0,1
0.25,1,0.5,"spillover",0,1
0.25,1,0.95,"spillover",0,1
0.3,0,0.2,"spillover",0.000106478585903712,1
0.3,0,0.5,"spillover",0.000146923710796924,0.994
0.3,0,0.95,"spillover",0.000105805715185885,0.994
0.3,0.05,0.2,"spillover",0.000137672376134991,0.996
0.3,0.05,0.5,"spillover",0.000102061100441327,0.998
0.3,0.05,0.95,"spillover",9.53324159702174e-05,0.996
0.3,0.1,0.2,"spillover",9.73805607835145e-05,0.996
0.3,0.1,0.5,"spillover",0.000122961460997646,0.996
0.3,0.1,0.95,"spillover",9.60118986571111e-05,0.998
0.3,0.15,0.2,"spillover",7.38856090184878e-05,0.998
0.3,0.15,0.5,"spillover",6.36376810152154e-05,0.996
0.3,0.15,0.95,"spillover",6.01250960321418e-05,0.996
0.3,0.2,0.2,"spillover",0.000101949554602932,0.998
0.3,0.2,0.5,"spillover",7.95143085311978e-05,0.998
0.3,0.2,0.95,"spillover",9.10602419025191e-05,0.998
0.3,0.25,0.2,"spillover",9.55660763724404e-05,0.998
0.3,0.25,0.5,"spillover",4.68726445681458e-05,1
0.3,0.25,0.95,"spillover",5.78225840616135e-05,0.998
0.3,0.3,0.2,"spillover",5.35094283190973e-05,0.998
0.3,0.3,0.5,"spillover",6.90934333402802e-05,0.998
0.3,0.3,0.95,"spillover",6.48498631471581e-05,0.992
0.3,0.35,0.2,"spillover",0.000101044126191794,0.99
0.3,0.35,0.5,"spillover",8.46502617574548e-05,0.998
0.3,0.35,0.95,"spillover",7.03179421550867e-05,1
0.3,0.4,0.2,"spillover",6.49447065337041e-05,0.998
0.3,0.4,0.5,"spillover",4.27986851858399e-05,0.998
0.3,0.4,0.95,"spillover",7.99141461190867e-05,0.994
0.3,0.45,0.2,"spillover",3.79861310150146e-05,0.998
0.3,0.45,0.5,"spillover",6.98136179339871e-05,0.996
0.3,0.45,0.95,"spillover",4.291686373211e-05,0.998
0.3,0.5,0.2,"spillover",3.28131125090586e-05,1
0.3,0.5,0.5,"spillover",5.75448405838852e-05,0.994
0.3,0.5,0.95,"spillover",4.83777748438741e-05,1
0.3,0.55,0.2,"spillover",3.74284295692261e-05,1
0.3,0.55,0.5,"spillover",4.78077549902237e-05,1
0.3,0.55,0.95,"spillover",4.75025335384505e-05,1
0.3,0.6,0.2,"spillover",3.15228775525456e-05,1
0.3,0.6,0.5,"spillover",2.61537382657027e-05,1
0.3,0.6,0.95,"spillover",4.77812063234848e-05,0.996
0.3,0.65,0.2,"spillover",4.33578878839229e-05,0.998
0.3,0.65,0.5,"spillover",6.40531726527295e-05,0.998
0.3,0.65,0.95,"spillover",3.73645068288448e-05,0.998
0.3,0.7,0.2,"spillover",3.13148298162834e-05,1
0.3,0.7,0.5,"spillover",2.12475517607181e-05,1
0.3,0.7,0.95,"spillover",3.7353493916354e-05,0.996
0.3,0.75,0.2,"spillover",3.28394342614204e-05,1
0.3,0.75,0.5,"spillover",4.91647422855949e-05,0.998
0.3,0.75,0.95,"spillover",2.1672876872863e-05,1
0.3,0.8,0.2,"spillover",4.81508765851084e-05,0.998
0.3,0.8,0.5,"spillover",1.61809184837049e-05,1
0.3,0.8,0.95,"spillover",2.65791901910279e-05,1
0.3,0.85,0.2,"spillover",1.09090909090909e-05,1
0.3,0.85,0.5,"spillover",1.60847916359806e-05,0.998
0.3,0.85,0.95,"spillover",2.15355873344862e-05,1
0.3,0.9,0.2,"spillover",5.30503978779841e-06,1
0.3,0.9,0.5,"spillover",1.06685633001422e-05,0.998
0.3,0.9,0.95,"spillover",2.11148897479324e-05,1
0.3,0.95,0.2,"spillover",1.08515847283795e-05,1
0.3,0.95,0.5,"spillover",0,1
0.3,0.95,0.95,"spillover",0,1
0.3,1,0.2,"spillover",0,1
0.3,1,0.5,"spillover",0,1
0.3,1,0.95,"spillover",0,1
0.35,0,0.2,"spillover",6.88578742689855e-05,0.998
0.35,0,0.5,"spillover",0.00012210531789353,0.998
0.35,0,0.95,"spillover",9.11660881785534e-05,1
0.35,0.05,0.2,"spillover",0.000101461601483774,1
0.35,0.05,0.5,"spillover",7.48206295320026e-05,0.998
0.35,0.05,0.95,"spillover",9.04572523277235e-05,0.998
0.35,0.1,0.2,"spillover",7.98629286745078e-05,1
0.35,0.1,0.5,"spillover",0.000138953716351286,0.996
0.35,0.1,0.95,"spillover",0.000112551192245905,0.996
0.35,0.15,0.2,"spillover",0.000121945920921667,0.988
0.35,0.15,0.5,"spillover",0.000107922874754687,0.994
0.35,0.15,0.95,"spillover",8.50131418726999e-05,0.998
0.35,0.2,0.2,"spillover",0.000106661416978714,0.996
0.35,0.2,0.5,"spillover",7.59620824778231e-05,0.994
0.35,0.2,0.95,"spillover",9.14566625687034e-05,0.998
0.35,0.25,0.2,"spillover",9.63821453056112e-05,0.996
0.35,0.25,0.5,"spillover",7.47584560574025e-05,0.998
0.35,0.25,0.95,"spillover",9.0754036961751e-05,0.996
0.35,0.3,0.2,"spillover",8.08944020427166e-05,0.996
0.35,0.3,0.5,"spillover",8.42006909623185e-05,1
0.35,0.3,0.95,"spillover",7.5018259979626e-05,0.998
0.35,0.35,0.2,"spillover",6.88764300663876e-05,0.998
